region_code,latitude,longitude,hospital_count,hospital_beds,access_distance_km,access_duration_min,access_method,route_exact_share_pct
30110,36.32392322709553,127.47502385039256,20,2989,2.21,5.82,kakao_car,99.1
30140,36.280826802926775,127.41113138280562,19,4869,1.91,5.96,kakao_car,100.0
30170,36.28026055468919,127.34515723454886,36,5125,1.59,5.44,kakao_car,100.0
30200,36.37684047861684,127.33322096344644,23,4097,3.24,9.35,kakao_car,91.4
30230,36.41217082153307,127.44004017039092,10,1909,2.59,7.16,kakao_car,100.0
31110,35.57110069169782,129.3082551805843,10,1986,1.85,5.48,kakao_car,100.0
31140,35.51473212608823,129.33008195560083,40,5809,1.44,3.95,kakao_car,100.0
31170,35.52522441226422,129.42621077901245,4,1532,2.29,7.2,kakao_car,100.0
31200,35.61009817713003,129.3800531328494,12,1969,3.45,8.97,kakao_car,94.5
31710,35.54590784237968,129.18779098746626,19,3014,5.36,11.0,kakao_car,96.4
36110,36.56078228658608,127.25876143449322,10,1516,2.8,7.44,kakao_car,92.8
41110,37.28033885797053,127.0077254464384,64,11476,2.07,5.68,kakao_car,97.9
41130,37.40734375413948,127.11621721437096,40,8639,1.96,5.78,kakao_car,100.0
41150,37.7362315368222,127.06843615336544,29,5400,2.22,6.52,kakao_car,100.0
41170,37.4026985486864,126.92803126704663,21,3222,2.18,6.79,kakao_car,100.0
41190,37.50427534586586,126.78857148124432,48,9077,1.33,5.17,kakao_car,100.0
41210,37.44514052279685,126.86486964098025,11,2036,1.49,5.7,kakao_car,100.0
41220,37.015320442195055,126.99294083189812,25,3814,3.26,7.62,kakao_car,100.0
41250,37.91659436029432,127.07782136294924,10,2101,2.66,6.11,kakao_car,100.0
41270,37.29058812514388,126.74602161429216,41,7799,1.92,5.99,kakao_car,100.0
41280,37.6650137157533,126.83705557715044,62,11779,1.83,5.35,kakao_car,97.6
41290,37.43376337626156,127.0027091733544,0,0,4.93,13.36,kakao_car,86.9
41310,37.59913480021851,127.13113886718658,14,2255,1.99,6.35,kakao_car,100.0
41360,37.66252011242442,127.2437442658307,40,5514,2.66,7.82,kakao_car,100.0
41370,37.16347838516142,127.0513230954041,15,2502,1.76,6.17,kakao_car,100.0
41390,37.38624730318149,126.78383550604408,23,3690,2.5,6.35,kakao_car,100.0
41410,37.34349608612684,126.9210312915874,11,1625,1.93,5.76,kakao_car,100.0
41430,37.36243669169978,126.98973351078544,7,1955,2.61,8.51,kakao_car,100.0
41450,37.52291051641084,127.20608068962343,15,1985,1.88,5.12,kakao_car,98.1
41460,37.22152406733844,127.22189682747036,46,7917,2.85,7.07,kakao_car,100.0
41480,37.85550143406139,126.80943628688614,35,4876,2.24,5.7,kakao_car,99.2
41500,37.20972231648131,127.48107159740724,11,1637,4.9,10.92,kakao_car,100.0
41550,37.035069918555095,127.30273787825946,12,1669,4.64,10.68,kakao_car,96.7
41570,37.68074247039655,126.62587115914036,25,3639,1.89,5.4,kakao_car,100.0
41590,37.16976966913942,126.85671322910406,31,4592,2.8,7.5,kakao_car,100.0
41610,37.403128498541975,127.3011655786232,9,1782,6.07,12.82,kakao_car,100.0
41630,37.80861296722272,127.0011022941734,18,2700,2.78,6.64,kakao_car,100.0
41650,37.96972491231168,127.25029492692704,9,1295,7.34,14.49,kakao_car,94.8
41670,37.30237823895949,127.61584117431238,10,1813,6.73,12.79,kakao_car,91.5
41800,38.09707364688499,127.02379732190764,2,250,10.83,20.99,kakao_car,91.4
41820,37.818512751791225,127.45019645463864,8,837,10.79,19.47,kakao_car,94.4
41830,37.51806047623096,127.57922600323325,10,1287,6.98,14.42,kakao_car,82.9
43110,36.627262624955165,127.4987244278172,46,8746,4.18,7.47,kakao_car,100.0
43130,37.01519252204543,127.89567201454008,13,1977,4.55,9.56,kakao_car,97.7
43150,37.059970590213794,128.14101978926848,9,1563,4.63,10.19,kakao_car,95.6
43720,36.48999108983685,127.72934801584783,5,763,7.05,13.71,kakao_car,85.9
43730,36.320516360150414,127.65651816962637,5,788,5.33,10.43,kakao_car,100.0
43740,36.15959895398294,127.81411907728896,4,672,8.87,12.1,kakao_car,30.5
43745,36.7862857421868,127.60464958937035,2,244,5.17,10.12,kakao_car,100.0
43750,36.87095463008577,127.44046679846588,4,837,5.56,11.56,kakao_car,100.0
43760,36.7697108461089,127.82956592228496,4,486,9.11,14.22,kakao_car,29.9
43770,36.97625785133028,127.61422933509505,7,1730,4.76,11.12,kakao_car,100.0
